Date,HR,PGE,SCE,SDGE,VEA,CAISO
1/5/2021,16,10781.37,10810.96,2254.33,57.54,23904.20
1/5/2021,17,11399.01,11257.56,2429.77,63.45,25149.79
1/5/2021,18,12446.81,12248.46,2747.88,72.02,27515.16
1/5/2021,19,12657.27,12319.48,2757.65,75.95,27810.35
1/5/2021,20,12368.11,12169.36,2677.50,76.63,27291.60
1/5/2021,21,11988.19,11829.35,2569.33,76.81,26463.69
1/5/2021,22,11465.79,11414.26,2456.67,76.58,25413.29
1/5/2021,23,10774.29,10854.43,2256.68,75.10,23960.50
1/5/2021,24,10005.86,10194.79,2073.03,75.48,22349.16
1/6/2021,1,9570.32,9699.00,2001.12,69.33,21346.60
1/6/2021,2,9278.91,9436.88,1948.17,70.83,20742.80
1/6/2021,3,9173.75,9270.92,1882.34,73.87,20403.49
1/6/2021,4,9179.98,9230.91,1875.50,79.94,20361.40
1/6/2021,5,9468.81,9471.35,1925.55,86.32,20959.99
1/6/2021,6,10125.22,10105.01,2072.85,95.64,22422.20
1/6/2021,7,11063.87,10971.28,2313.14,106.57,24496.17
1/6/2021,8,11829.73,11488.87,2466.54,107.52,25924.63
1/6/2021,9,11984.67,11660.70,2388.95,96.44,26024.44
1/6/2021,10,11847.83,11184.21,2201.70,84.52,25307.89
1/6/2021,11,11526.99,10818.63,2014.77,74.37,24441.91
1/6/2021,12,11247.82,10577.51,1927.44,67.14,23824.92
1/6/2021,13,11295.84,10490.01,1954.12,61.58,23803.77
1/6/2021,14,11244.39,10668.42,1933.88,58.51,23906.86
1/6/2021,15,11057.41,10866.91,2013.98,57.68,23996.74
1/6/2021,16,11039.08,10990.99,2151.41,57.54,24240.24
1/6/2021,17,11457.80,11373.18,2457.04,63.45,25354.94
1/6/2021,18,12654.65,12234.99,2716.52,72.02,27681.88
1/6/2021,19,12837.48,12291.89,2727.58,75.95,27934.26
1/6/2021,20,12522.53,12006.76,2639.06,76.63,27246.17
1/6/2021,21,12118.08,11733.36,2523.54,76.81,26452.37
1/6/2021,22,11580.10,11367.80,2421.13,76.58,25445.84
1/6/2021,23,10802.49,10769.13,2227.77,75.10,23874.26
1/6/2021,24,10073.34,10104.13,2075.98,75.48,22328.27
1/7/2021,1,9620.40,9668.10,1970.34,75.65,21334.50
1/7/2021,2,9305.65,9330.16,1890.12,79.01,20604.95
1/7/2021,3,9166.25,9148.50,1846.85,82.81,20244.42
1/7/2021,4,9196.20,9276.47,1841.66,86.25,20400.58
1/7/2021,5,9417.48,9564.81,1892.65,92.55,20967.50
1/7/2021,6,10026.14,10151.67,2025.59,103.74,22307.13
1/7/2021,7,10962.86,11028.86,2262.10,112.75,24366.58
1/7/2021,8,11774.23,11465.40,2407.57,113.82,25761.03
1/7/2021,9,12112.59,11547.63,2251.13,101.18,26012.54
1/7/2021,10,11758.22,11344.14,2042.18,95.41,25239.94
1/7/2021,11,11367.66,11038.51,1862.07,84.11,24352.36
1/7/2021,12,10940.54,10965.74,1747.72,75.51,23729.50
1/7/2021,13,10564.49,10778.29,1862.47,73.06,23278.31
1/7/2021,14,10242.62,10795.14,1793.73,69.89,22901.38
1/7/2021,15,10261.99,10885.01,1913.73,69.57,23130.30
1/7/2021,16,10741.59,11075.04,2118.78,70.55,24005.96
1/7/2021,17,11428.58,11406.51,2391.45,76.27,25302.81
1/7/2021,18,12629.50,12273.84,2676.34,84.07,27663.75
1/7/2021,19,12826.71,12344.20,2687.40,86.17,27944.47
1/7/2021,20,12528.60,12130.32,2600.00,87.22,27346.14
1/7/2021,21,12146.61,11905.42,2491.81,88.31,26632.15
1/7/2021,22,11664.60,11487.14,2362.23,88.12,25602.09
1/7/2021,23,10945.11,10867.67,2184.96,85.74,24083.47
1/7/2021,24,10193.65,10254.67,2027.00,85.82,22561.15
1/8/2021,1,9681.32,9773.07,1953.27,85.89,21493.56
1/8/2021,2,9402.24,9456.02,1889.28,87.58,20835.12
1/8/2021,3,9218.31,9279.55,1842.62,90.62,20431.10
1/8/2021,4,9164.51,9261.97,1835.93,94.13,20356.55
1/8/2021,5,9381.04,9484.24,1886.69,100.27,20852.25
1/8/2021,6,9955.53,10084.25,2042.19,108.10,22190.07
1/8/2021,7,10911.31,10926.73,2245.29,116.45,24199.78
1/8/2021,8,11722.03,11395.25,2415.25,118.87,25651.40
1/8/2021,9,11952.96,11561.86,2325.52,106.13,25946.47
1/8/2021,10,11713.71,11341.55,2065.58,91.92,25212.76
1/8/2021,11,11352.51,10940.31,1878.14,81.80,24252.77
1/8/2021,12,11049.33,10611.27,1761.43,69.83,23491.85
1/8/2021,13,10762.78,10393.61,1720.16,63.80,22940.35
1/8/2021,14,10422.55,10421.18,1821.14,60.71,22725.58
1/8/2021,15,10292.57,10547.31,1914.40,57.78,22812.07
1/8/2021,16,10610.85,10669.83,2115.98,57.20,23453.86
1/8/2021,17,11231.66,11092.50,2398.86,63.04,24786.06
1/8/2021,18,12302.01,11946.16,2613.26,74.36,26935.79
1/8/2021,19,12507.77,12084.03,2637.96,77.93,27307.69
1/8/2021,20,12237.08,11895.47,2562.90,80.39,26775.84
1/8/2021,21,11887.18,11671.96,2470.99,82.07,26112.19
1/8/2021,22,11425.66,11318.92,2387.44,83.72,25215.73
1/8/2021,23,10764.95,10817.70,2213.95,84.60,23881.21
1/8/2021,24,10087.68,10170.08,2061.60,84.31,22403.67
1/9/2021,1,9665.15,9665.38,1971.81,84.45,21386.79
1/9/2021,2,9317.88,9294.21,1902.59,85.53,20600.21
1/9/2021,3,9198.44,9123.27,1859.15,86.37,20267.22
1/9/2021,4,9106.85,9052.93,1839.08,85.78,20084.64
1/9/2021,5,9229.12,9131.24,1861.45,87.45,20309.26
1/9/2021,6,9537.61,9477.15,1936.72,91.26,21042.75
