Date,HR,PGE,SCE,SDGE,VEA,CAISO Total,
4/7/2020,19,10402.8888715278,10714.3646375868,2481.49936740451,52.6925388262007,23675.3361474609,
4/7/2020,20,11073.739391276,11230.2396017795,2356.24532877604,56.4250469907125,24735.5134375,
4/7/2020,21,11312.4290603299,11080.2780381944,2312.51986518012,56.4067357412974,24780.1073703342,
4/7/2020,22,10891.199624566,10799.8835948351,2178.781746148,54.5903340276082,23946.3523849826,
4/7/2020,23,10246.8566200087,10151.1910991753,1988.45113715278,52.2927591758304,22459.3893098958,
4/7/2020,24,9553.95743489583,9497.0559516059,1867.11730116102,50.3651846747928,20986.0393180339,
4/8/2020,1,9156.58496853299,9005.52194552951,1772.98032999674,49.8733318784502,20001.2884928385,
4/8/2020,2,9076.05218315972,8605.45855902778,1679.45647840712,50.065026596917,19427.6804470486,
4/8/2020,3,8872.01129882813,8429.36599392361,1648.94618991428,50.433351553811,19017.3504801432,
4/8/2020,4,8811.15022786458,8307.75533420139,1629.30573120117,52.4079198911455,18816.5602007378,
4/8/2020,5,8957.49376953125,8525.03745117188,1659.55897786458,55.7775994565752,19213.3067854818,
4/8/2020,6,9419.9059906684,9043.02233940972,1768.49041327582,61.8960170692868,20306.9822254774,
4/8/2020,7,10068.7600705295,9695.35607530382,1898.40983927409,67.2863993475172,21743.5397482639,
4/8/2020,8,10483.3815863715,10096.5640180122,1972.12331610786,68.7880845917596,22635.1057128906,
4/8/2020,9,10312.3572471788,10357.2216514757,1955.944232449,66.9342704709371,22709.4942073568,
4/8/2020,10,9997.0535546875,10336.0612478299,1900.70084187826,58.0612637223138,22303.0686973741,
4/8/2020,11,9615.53285807292,10139.02484375,1888.82957126194,51.7022779401143,21710.7030916341,
4/8/2020,12,9422.91629665799,10045.0865993924,1777.95835001628,45.8851247480181,21313.8294978841,
4/8/2020,13,9389.37932291667,9911.70374023438,1733.66533623589,44.9426098749373,21106.1217247179,
4/8/2020,14,8977.96817274306,9745.37579644097,1562.32463229709,51.9661064720154,20363.7092377387,
4/8/2020,15,8907.91581814236,9526.57826605903,1638.36403618707,53.7334858296759,20149.1785764147,
4/8/2020,16,8906.74708550347,9421.82173068576,1649.52531778971,58.183779680464,20045.089956326,
4/8/2020,17,9287.89274522569,9592.85893337674,1675.42234483507,57.6882896433936,20621.5374864366,
4/8/2020,18,9868.61268663195,10073.3351573351,1861.18138739692,57.769551399019,21873.4801291233,
4/8/2020,19,10432.9226649306,10565.6507855903,2075.86988349067,62.1969385761685,23154.0742290582,
4/8/2020,20,10950.351773714,11227.5995690697,2312.36121341821,65.7383782249027,24572.8829389106,
4/8/2020,21,11221.0800260417,11160.1372927517,2311.77170600043,64.9893670336406,24774.5204465061,
4/8/2020,22,10667.3708300781,10850.1838161892,2174.61743001302,62.4324067052205,23775.4780419922,
